timestamp,soft_xray_flux,hard_xray_flux,soft_bg_subtracted,hard_bg_subtracted,source
2026-06-20T12:11:58Z,28.0,0.0,25.0,0.0,aditya
2026-06-20T12:11:59Z,26.0,0.0,23.0,0.0,aditya
2026-06-20T12:12:00Z,27.0,3.0,24.0,3.0,aditya
2026-06-20T12:12:01Z,40.0,15.0,37.0,15.0,aditya
2026-06-20T12:12:02Z,38.0,0.0,35.0,0.0,aditya
2026-06-20T12:12:03Z,21.0,0.0,18.0,0.0,aditya
2026-06-20T12:12:04Z,27.0,0.0,24.0,0.0,aditya
2026-06-20T12:12:05Z,42.0,0.0,39.0,0.0,aditya
2026-06-20T12:12:06Z,22.0,0.0,19.0,0.0,aditya
2026-06-20T12:12:07Z,22.0,0.0,19.0,0.0,aditya
2026-06-20T12:12:08Z,29.0,3.0,26.0,3.0,aditya
2026-06-20T12:12:09Z,31.0,21.0,28.0,21.0,aditya
2026-06-20T12:12:10Z,30.0,0.0,27.0,0.0,aditya
2026-06-20T12:12:11Z,31.0,0.0,28.0,0.0,aditya
2026-06-20T12:12:12Z,38.0,0.0,35.0,0.0,aditya
2026-06-20T12:12:13Z,24.0,0.0,21.0,0.0,aditya
2026-06-20T12:12:14Z,27.0,0.0,24.0,0.0,aditya
2026-06-20T12:12:15Z,24.0,14.0,21.0,14.0,aditya
2026-06-20T12:12:16Z,32.0,0.0,29.0,0.0,aditya
2026-06-20T12:12:17Z,27.0,2.0,24.0,2.0,aditya
2026-06-20T12:12:18Z,26.0,0.0,23.0,0.0,aditya
2026-06-20T12:12:19Z,28.0,0.0,25.0,0.0,aditya
2026-06-20T12:12:20Z,32.0,0.0,29.0,0.0,aditya
2026-06-20T12:12:21Z,25.0,0.0,22.0,0.0,aditya
2026-06-20T12:12:22Z,38.0,19.0,35.0,19.0,aditya
2026-06-20T12:12:23Z,38.0,0.0,35.0,0.0,aditya
2026-06-20T12:12:24Z,40.0,0.0,37.0,0.0,aditya
2026-06-20T12:12:25Z,31.0,0.0,28.0,0.0,aditya
2026-06-20T12:12:26Z,23.0,0.0,20.0,0.0,aditya
2026-06-20T12:12:27Z,32.0,0.0,29.0,0.0,aditya
2026-06-20T12:12:28Z,19.0,0.0,16.0,0.0,aditya
2026-06-20T12:12:29Z,41.0,13.0,38.0,13.0,aditya
2026-06-20T12:12:30Z,25.0,0.0,22.0,0.0,aditya
2026-06-20T12:12:31Z,23.0,0.0,20.0,0.0,aditya
2026-06-20T12:12:32Z,37.0,0.0,34.0,0.0,aditya
2026-06-20T12:12:33Z,30.0,0.0,27.0,0.0,aditya
2026-06-20T12:12:34Z,21.0,0.0,18.0,0.0,aditya
2026-06-20T12:12:35Z,30.0,0.0,27.0,0.0,aditya
2026-06-20T12:12:36Z,30.0,0.0,27.0,0.0,aditya
2026-06-20T12:12:37Z,25.0,0.0,22.0,0.0,aditya
2026-06-20T12:12:38Z,25.0,14.0,22.0,14.0,aditya
2026-06-20T12:12:39Z,33.0,0.0,30.0,0.0,aditya
2026-06-20T12:12:40Z,23.0,0.0,20.0,0.0,aditya
2026-06-20T12:12:41Z,32.0,0.0,29.0,0.0,aditya
2026-06-20T12:12:42Z,16.0,0.0,13.0,0.0,aditya
2026-06-20T12:12:43Z,36.0,0.0,33.0,0.0,aditya
2026-06-20T12:12:44Z,38.0,0.0,35.0,0.0,aditya
2026-06-20T12:12:45Z,27.0,9.0,24.0,9.0,aditya
2026-06-20T12:12:46Z,30.0,3.0,27.0,3.0,aditya
2026-06-20T12:12:47Z,20.0,0.0,17.0,0.0,aditya
2026-06-20T12:12:48Z,36.0,0.0,33.0,0.0,aditya
2026-06-20T12:12:49Z,31.0,0.0,28.0,0.0,aditya
2026-06-20T12:12:50Z,18.0,0.0,15.0,0.0,aditya
2026-06-20T12:12:51Z,28.0,0.0,25.0,0.0,aditya
2026-06-20T12:12:52Z,31.0,0.0,28.0,0.0,aditya
2026-06-20T12:12:53Z,30.0,3.0,27.0,3.0,aditya
2026-06-20T12:12:54Z,29.0,10.0,26.0,10.0,aditya
2026-06-20T12:12:55Z,27.0,0.0,24.0,0.0,aditya
2026-06-20T12:12:56Z,38.0,0.0,35.0,0.0,aditya
2026-06-20T12:12:57Z,25.0,0.0,22.0,0.0,aditya
2026-06-20T12:12:58Z,35.0,0.0,32.0,0.0,aditya
2026-06-20T12:12:59Z,35.0,0.0,32.0,0.0,aditya
2026-06-20T12:13:00Z,20.0,0.0,17.0,0.0,aditya
