timestamp,hard_rate_of_rise,hardness_ratio,soft_bg_trend,recent_flare_count,label_30min,label_60min,label_120min
2017-09-06 00:00:00+00:00,,6.799295348969281,,0,False,False,False
2017-09-06 00:01:00+00:00,,6.751152170636488,,0,False,False,False
2017-09-06 00:02:00+00:00,,5.567519067994911,,0,False,False,False
2017-09-06 00:03:00+00:00,,8.062866641012075,,0,False,False,False
2017-09-06 00:04:00+00:00,,0.4732442471833784,,0,False,False,False
2017-09-06 00:05:00+00:00,2.7070014000000003e-09,0.26938977081059745,,0,False,False,False
2017-09-06 00:06:00+00:00,3.733482000000001e-09,0.18816409633179093,,0,False,False,False
2017-09-06 00:07:00+00:00,4.8768412e-09,0.17019993931946567,,0,False,False,False
2017-09-06 00:08:00+00:00,5.3322467999999995e-09,0.1385421669645337,,0,False,False,False
2017-09-06 00:09:00+00:00,4.5737404e-09,0.1377606480150686,,0,False,False,False
2017-09-06 00:10:00+00:00,3.3822366000000015e-09,0.12725748921566585,,0,False,False,False
2017-09-06 00:11:00+00:00,3.1066919999999983e-09,0.11497325334400572,,0,False,False,False
2017-09-06 00:12:00+00:00,1.7725700000000006e-09,0.1015269625956295,,0,False,False,False
2017-09-06 00:13:00+00:00,-2.0892999999999894e-10,0.09759908524738849,,0,False,False,False
2017-09-06 00:14:00+00:00,-2.2116250000000006e-09,0.09089237882702154,,0,False,False,False
2017-09-06 00:15:00+00:00,-2.9098740000000013e-09,0.10119833955998625,,0,False,False,False
2017-09-06 00:16:00+00:00,-4.269430799999999e-09,0.10531212194342983,,0,False,False,False
2017-09-06 00:17:00+00:00,-4.4508052e-09,0.11254453973523076,,0,False,False,False
2017-09-06 00:18:00+00:00,-3.996914e-09,0.13114885947855381,,0,False,False,False
2017-09-06 00:19:00+00:00,-2.5665038000000006e-09,0.15606417700470074,,0,False,False,False
2017-09-06 00:20:00+00:00,-2.1983028000000002e-09,0.21442984536711837,,0,False,False,False
2017-09-06 00:21:00+00:00,-2.2064791999999993e-09,0.2973092636293497,,0,False,False,False
2017-09-06 00:22:00+00:00,-1.8625016000000002e-09,7.172949878508918,,0,False,False,False
2017-09-06 00:23:00+00:00,-1.3625840000000007e-09,6.802628149671362,,0,False,False,False
2017-09-06 00:24:00+00:00,-1.4640211999999992e-09,4.880473980506397,,0,False,False,False
2017-09-06 00:25:00+00:00,-1.8712832000000004e-09,2.246750341328152,,0,False,False,False
2017-09-06 00:26:00+00:00,-1.6632608000000008e-09,0.15533672126366713,,0,False,False,False
2017-09-06 00:27:00+00:00,-1.4304112000000002e-09,0.0,,0,False,False,False
2017-09-06 00:28:00+00:00,-1.2081587999999989e-09,0.7415479785777253,,0,False,False,False
2017-09-06 00:29:00+00:00,1.1052119999999971e-10,5.417638249127775,-3.8838937814476684e-09,0,False,False,False
2017-09-06 00:30:00+00:00,3.8152400000000085e-10,4.143771548115183,-5.389155365050267e-09,0,False,False,False
2017-09-06 00:31:00+00:00,6.183100000000002e-10,3.236289103369928,-6.894416948652865e-09,0,False,False,False
2017-09-06 00:32:00+00:00,8.217899999999996e-10,4.094114558483855,-8.399678532255464e-09,0,False,False,False
2017-09-06 00:33:00+00:00,5.086987999999994e-10,3.274444537737506,-9.904940115858064e-09,0,False,False,False
2017-09-06 00:34:00+00:00,-1.1818152000000003e-09,0.0,-1.122318959557365e-08,0,False,False,False
2017-09-06 00:35:00+00:00,-9.810616000000004e-10,0.0,-1.2203060016046233e-08,0,False,False,False
2017-09-06 00:36:00+00:00,-6.183100000000002e-10,0.12263470239304161,-1.2738865376585767e-08,0,False,False,False
2017-09-06 00:37:00+00:00,-8.417799999999979e-11,3.639613765926694,-1.2933035777900583e-08,0,False,False,False
2017-09-06 00:38:00+00:00,1.180899999999997e-10,3.8197775609205586,-1.2534552230162192e-08,0,False,False,False
2017-09-06 00:39:00+00:00,1.0455564000000004e-09,4.6691233990259216,-1.1942556453288451e-08,0,False,False,False
2017-09-06 00:40:00+00:00,1.3989207999999994e-09,6.154341036790356,-1.1027438097408556e-08,0,False,False,False
2017-09-06 00:41:00+00:00,1.5139828e-09,7.624417008855742,-9.544702507295202e-09,0,False,False,False
2017-09-06 00:42:00+00:00,1.755614800000001e-09,12.349556754998043,-7.723983366733259e-09,0,False,False,False
2017-09-06 00:43:00+00:00,1.953038400000001e-09,13.51683849293295,-5.990438041389987e-09,0,False,False,False
2017-09-06 00:44:00+00:00,1.5712111999999998e-09,12.457048370606572,-4.578031063917273e-09,0,False,False,False
2017-09-06 00:45:00+00:00,1.9802888e-09,15.987655643812102,-3.4029683605911525e-09,0,False,False,False
2017-09-06 00:46:00+00:00,2.219498600000001e-09,18.667407175598786,-2.391750166699362e-09,0,False,False,False
2017-09-06 00:47:00+00:00,2.0641643999999998e-09,22.629500051607465,-1.567462877230175e-09,0,False,False,False
2017-09-06 00:48:00+00:00,2.6797496e-09,2.016502018279132,-8.932559546122381e-10,0,False,False,False
